game_date,release_speed,release_spin_rate,vx0,vy0,vz0,balls,strikes,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,ax,ay,az,CH,FF,KC,SL,ball,called_strike,double,field_error,field_out,home_run,single,strikeout,strikeout_looking,swinging_strike,walk
2020-10-09,89.7,2616.0,6.236950403359726,-130.4546498030694,-4.639431046450071,1,2,14.0,-1.94,5.63,0.43,0.33,0.94,1.62,6.5,3.565484771642264,27.38061524626836,-27.601577630501435,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-10-09,97.8,2536.0,8.25062129435908,-142.01186390963275,-6.716754743655827,1,1,6.0,-1.8,5.6,-1.01,1.81,0.39,2.62,6.6,-15.567340205475606,33.235461200643776,-6.245994027811304,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,89.3,2498.0,6.458558016244907,-129.91677085224975,-0.6652793137679814,0,1,12.0,-1.86,5.53,0.48,0.46,1.17,3.21,6.4,4.149057159550612,26.678723988160296,-26.9985658807907,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,84.1,2775.0,2.631797360031393,-122.39346972556334,1.5664944672221686,0,0,5.0,-1.88,5.67,0.82,-1.08,-0.05,2.64,6.4,7.631897315567728,26.1409035078411,-43.56357455425397,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,99.3,2624.0,6.948834250078772,-144.39251783457934,-3.285327704187866,2,2,11.0,-2.08,5.52,-1.34,1.7,-0.7,3.78,6.6,-20.3529978382943,36.50707259838644,-7.983086532258169,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-09,89.8,1675.0,7.767411167093283,-130.40731088392488,-4.80919292034819,2,1,5.0,-1.83,5.48,-1.6,1.08,-0.08,2.04,6.7,-19.86889685604755,28.582430200448968,-18.98259438415617,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,89.7,1804.0,5.4452825016662825,-130.34847463519213,-6.713100242237468,1,1,13.0,-1.99,5.51,-1.5,0.83,-1.08,1.08,6.6,-18.22092574467121,27.776498130404924,-21.509299416889174,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,97.4,2585.0,7.645256788173716,-141.50958101659774,-6.435698550069577,1,0,5.0,-1.95,5.6,-1.04,1.78,0.0,2.66,6.5,-15.795073437838209,35.606763439307706,-6.9919255998444525,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,96.8,2565.0,4.746446785226795,-140.7455904192766,-5.0917830860097215,0,0,11.0,-1.84,5.65,-1.17,1.81,-1.08,3.19,6.5,-16.64941094687397,36.05173920204961,-7.321731465390016,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,88.8,2518.0,4.771572973606407,-129.18557552884977,-3.470505157646416,0,2,9.0,-1.84,5.62,0.43,0.07,0.48,1.78,6.3,3.8020902854538,27.836633685510837,-30.89976033153675,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-10-09,88.1,2530.0,5.84306046365761,-128.24335252930004,-1.3801170075071676,0,1,12.0,-2.02,5.62,0.57,0.24,0.86,2.76,6.6,5.123497859764284,25.55485043076692,-29.440230769917683,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,96.8,2703.0,6.600435102462752,-140.58192504022335,-6.65164357183476,0,0,4.0,-1.9,5.65,-1.06,1.85,-0.34,2.65,6.6,-15.554721692296868,35.091193913140536,-6.347388718675781,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,97.0,2596.0,7.076639907048303,-140.76897073390097,-8.777063189895504,3,2,7.0,-1.9,5.6,-1.19,1.69,-0.29,1.67,6.7,-17.512043608524248,35.60010947042602,-7.903775671462407,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-09,97.7,2614.0,6.558581380392311,-142.05500269923573,-5.997771452548876,3,1,1.0,-1.92,5.59,-1.01,1.79,-0.36,2.86,6.7,-15.13102246842814,33.009249344576446,-6.744646749557102,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,98.1,2566.0,6.994010901307638,-142.63016726208122,-6.270599728770482,3,0,1.0,-2.01,5.55,-1.08,1.67,-0.36,2.64,6.5,-16.418642332946177,32.89874964963048,-8.169144837005899,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,98.3,2638.0,5.46330731520549,-142.97200538715433,-0.9987602217800238,2,0,11.0,-2.07,5.63,-1.13,1.6,-1.03,4.6,6.5,-16.80049209996553,35.2941432011907,-10.330149238904555,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,88.4,1741.0,8.461770073606154,-128.256200240258,-7.454758819407451,1,0,14.0,-1.93,5.44,-1.42,0.78,0.29,0.57,6.9,-17.465879934832998,26.40187055166542,-22.219089198748563,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,98.3,2459.0,7.828619995783247,-143.03812947354206,-2.455650345360453,0,0,12.0,-1.91,5.69,-0.98,1.56,0.13,4.1,6.5,-15.252859980447562,33.15571273404341,-10.366391405107398,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,86.2,2833.0,6.189716254407389,-125.3860985485564,-0.1130699766018721,3,2,14.0,-1.79,5.66,0.6,-0.75,1.32,2.34,6.6,5.063731059644442,25.333886582465887,-40.33453593841077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-10-09,87.2,2799.0,8.089227386289156,-126.39751823652338,-9.10424748838685,2,2,14.0,-1.84,5.68,0.35,-0.81,1.81,-1.4,6.8,1.8408720197386488,29.3619263258684,-38.85952135939608,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,99.2,2591.0,7.768421023214144,-144.11964750434183,-4.90026463573409,2,2,1.0,-2.06,5.52,-1.25,1.4,-0.29,2.93,6.6,-19.234935376831373,37.87940764215098,-11.704820759422704,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,99.0,2572.0,9.84383085262664,-143.5534163748824,-7.712447621420858,2,1,9.0,-1.95,5.57,-1.24,1.64,0.56,2.15,6.8,-19.527503082492174,36.07045320470758,-7.858788300870139,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,98.5,2570.0,9.482233683491716,-142.7582707851567,-9.857383965857046,1,1,14.0,-1.77,5.61,-1.08,1.67,0.79,1.39,6.7,-17.050477922177848,34.0221460516107,-7.203941593028209,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,84.3,2794.0,3.736898638483823,-122.60676425409753,-1.1385833276270276,1,0,9.0,-1.84,5.74,0.86,-1.0,0.51,1.58,6.5,7.588183889396301,30.41579262714203,-42.0461798763599,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,97.4,2549.0,6.84058085938585,-141.56737546148275,-1.3699298863759282,0,0,11.0,-1.86,5.69,-1.14,1.66,-0.3,4.52,6.5,-16.985799343217234,36.8248790558427,-9.99315241120737,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,85.6,2844.0,3.1621279397820854,-124.61802673393984,-0.4262220916126449,1,1,8.0,-2.01,5.65,0.67,-1.23,-0.1,1.71,6.6,6.2204217094620855,28.272193875020797,-45.05613435950555,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-10-09,87.2,2838.0,4.272644062916988,-126.8190569647984,-5.136805002924032,0,1,14.0,-1.99,5.63,0.61,-1.06,0.3,0.0,6.6,5.553937368895457,28.93014131626968,-42.5786880031296,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,98.1,2568.0,8.15269151587728,-142.43050344144982,-4.70649088441737,0,0,2.0,-1.94,5.6,-1.13,1.74,0.1,3.29,6.5,-17.413950326964017,37.93462839736563,-7.68338007800008,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,96.8,2604.0,3.243890861397688,-140.8646887322838,-3.0140242171431813,0,0,11.0,-1.99,5.57,-1.28,1.68,-1.88,3.77,6.5,-17.671066891692835,37.54133844893137,-9.517483520185566,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-10-09,97.5,2587.0,4.973054859593634,-141.728775950202,-3.9204078082677727,3,1,11.0,-1.93,5.58,-1.21,1.55,-1.12,3.38,6.5,-17.408883420273824,36.70720921905088,-10.687916704750608,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-10-09,88.2,1760.0,3.2780588828471564,-128.3394070102553,-0.5565761591446675,2,1,11.0,-2.08,5.46,-1.53,0.94,-2.05,3.5,6.6,-17.541535212750524,29.02582639858417,-22.00868742491685,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,96.8,2599.0,6.869470425260787,-140.74649740612554,-3.927241032593564,2,0,11.0,-2.12,5.59,-0.95,1.72,-0.37,3.5,6.5,-14.259890286526751,34.412019087305595,-8.70823862870612,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,84.8,2826.0,1.123253611008197,-123.4595555575122,2.007021599900577,1,0,11.0,-2.04,5.75,0.53,-0.89,-1.11,3.1,6.3,5.141933143161309,27.789447030035102,-41.9044157709436,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,84.6,2805.0,7.615712383331219,-122.77356467886864,-5.837371608965496,0,0,14.0,-1.97,5.69,0.75,-0.72,1.93,-0.22,6.6,5.6267785693364125,29.49548974163861,-38.19020055140852,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,97.7,2660.0,7.78075043463757,-141.72997361282822,-8.975003142247884,0,2,13.0,-2.17,5.46,-1.66,1.58,-0.71,1.41,6.5,-24.11888028829533,36.20518721893404,-8.979208954930863,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-09,89.3,1813.0,7.153474640766644,-129.69618476061322,-5.646784097671974,0,1,13.0,-2.11,5.37,-1.61,0.8,-0.59,1.31,6.7,-19.62017501901726,27.687039291229866,-22.157594743227012,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,96.6,2668.0,7.87152232408093,-140.16576597394658,-8.59300360974564,0,0,8.0,-2.1,5.61,-1.29,1.7,-0.25,1.72,6.6,-18.790205836722123,35.5662255994134,-7.993914066368492,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-05,99.3,2500.0,5.300620594348947,-144.419317820547,-3.8639191271956106,3,2,11.0,-2.0,5.47,-0.97,1.6,-0.92,3.45,6.7,-14.847995180409074,35.355123716626515,-9.117134730393037,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-05,97.2,2397.0,4.339418817802781,-141.39473074171926,-4.916883842492719,3,1,11.0,-1.95,5.45,-0.85,1.69,-1.07,2.99,6.6,-12.458648080267356,34.441326452338174,-8.696388555347214,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
