game_date,home_team,away_team,release_speed,release_spin_rate,events,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,vx0,vy0,vz0,ax,ay,az,CH,FF,KC,SL,ball,called_strike,called_strikeout,double,field_error,field_out,home_run,single,strikeout,swinging_strike,walk
2020-09-16,NYY,TOR,86.8,2666.0,swinging_strike,14,-1.83,5.65,0.54,-0.33,1.52,1.63,6.3,6.904818229528996,-126.40847711959594,-2.8468176399938985,4.619667814411614,23.02444565046654,-35.39018506042811,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,95.8,2428.0,swinging_strike,11,-2.04,5.58,-1.07,1.56,-1.06,3.32,6.3,5.014972588498232,-139.41543727562814,-3.83986851901998,-15.04855189286172,33.28117145170355,-11.276558854548568,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,95.3,2492.0,called_strike,3,-1.67,5.78,-0.72,1.55,0.41,3.29,6.5,7.11205036945071,-138.59104498770128,-4.387308963580851,-10.835758357414289,30.732824092936955,-11.443086041796606,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.2,2603.0,strikeout,14,-2.04,5.59,0.39,0.13,0.72,1.08,6.3,5.967886903677145,-129.90494317101542,-5.397955595187186,3.340975812391487,24.80169781852599,-29.83333927872341,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020-09-16,NYY,TOR,97.6,2523.0,swinging_strike,2,-2.0,5.64,-0.91,1.49,-0.19,3.52,6.5,6.980026471211424,-141.9614447281616,-3.590896646948722,-13.940365140548575,34.9325321272729,-11.462387354408763,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,96.9,2476.0,called_strike,4,-2.02,5.65,-0.83,1.54,-0.37,2.78,6.3,6.300883809188548,-140.75575929841162,-5.574033072027524,-12.476619285572053,35.51150498419048,-10.710229059853042,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,97.6,2519.0,field_out,8,-1.92,5.66,-1.06,1.36,-0.06,2.1,6.6,7.482834319115799,-141.76320279601524,-7.173782545452469,-16.00696109761668,35.039978896985524,-12.302821284185995,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,85.0,2907.0,ball,14,-1.89,5.63,1.31,-0.9,2.18,0.81,6.5,6.915492506154663,-123.54966151683334,-3.088542532814273,11.74743121493953,27.612103753928853,-40.86921725347555,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,97.9,2588.0,swinging_strike,2,-1.93,5.64,-0.91,1.5,-0.17,2.92,6.5,6.863841218723352,-142.38607120861647,-5.338086458633273,-13.962629359530323,33.06120754394986,-10.67237767003616,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,97.2,2445.0,swinging_strike,2,-1.97,5.59,-1.0,1.56,-0.13,2.93,6.6,7.26748488851019,-141.36581703922872,-5.176713863516259,-15.020250908434909,32.036243715632295,-10.277967191247066,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,96.9,2471.0,ball,12,-1.86,5.66,-1.02,1.45,0.27,4.02,6.3,8.055523044325364,-140.9894368040051,-2.1623897440262403,-15.493818860089998,32.01521921542028,-12.583895487268505,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
